factual_capital	30	720 16533 25 12366 13 220 8922 25 3788 1129 2185 960 1018 1036 3074 916 61875 14 60704 271 3923 374 279 6864 315 9822 30 22559 25 12366
factual_hamlet	30	720 16533 25 12656 42482 6267 9777 1169 13 1283 574 459 6498 99468 323 40360 11 9405 389 5936 220 1419 11 220 10132 19 11 304 54035 8350
factual_columbus	30	720 16533 25 220 10161 17 271 14924 25 3639 374 279 836 315 279 7928 32843 30 22559 25 13936 271 14924 25 3639 374 279 836 315 279
def_photosynth	30	279 1920 555 902 11012 5625 3177 4907 1139 11742 4907 13 1115 1920 374 7718 369 279 20237 315 11012 323 1101 369 279 20237 315 10099 430 6904
def_gravity	30	34145 6302 7119 1855 1023 13 578 5457 315 24128 374 55272 311 279 3148 315 279 6302 323 65683 989 55272 311 279 6138 1990 279 6302 13 578
def_ml	30	315 21075 11478 430 18065 279 4500 315 26249 430 2187 19002 311 4048 505 828 13 1102 374 264 27084 315 21075 11478 430 18065 279 4500 315 26249
nar_once	60	11 1070 574 264 3995 3828 7086 30505 13 3005 574 264 1633 22999 323 68188 3828 13 3005 10456 311 13488 323 7142 502 2574 13 3861 1938 11 1364 6773 311 13488 279 14373 13952 13 3005 19937 1077 34236 449 1063 43402 11 264 3090 16893 11 323 264 79515 13 3005 743 1022 389 1077 11879
nar_storm	60	279 1193 3177 3782 505 279 29447 4776 52305 13 578 10160 1268 839 323 279 12690 272 1127 291 11 323 279 11422 95579 279 15485 13 1102 574 264 4832 6376 369 264 22169 3446 13 578 10160 323 11422 1903 279 16975 4832 369 264 22169 3446 13 578 10160 323 11422 1903 279 16975 4832 369
nar_discovery	60	430 279 828 574 539 13263 449 279 3685 3135 13 3005 6773 311 312 10397 20588 279 828 323 312 23831 279 6492 13 4740 312 10397 309 5859 279 828 11 1364 15393 430 279 828 574 539 13263 449 279 3685 3135 13 3005 6773 311 312 23831 279 6492 13 4740 312 10397 309 5859 279
math_add	30	220 777 13 3082 477 3641 5380 16533 25 3082 13 220 717 5636 220 22 17239 220 777 13 3082 477 3641 13 22559 25 3082 13 220 717
math_div	30	220 717 198 633 14924 25 2650 1690 3115 1587 220 8929 18255 555 220 717 17239 220 717 1980 37942 512 8929 18255 555 220 717 17239 220 717
reason_word	30	220 17 4207 13 3639 374 279 4732 315 279 5542 5380 16533 25 220 1399 35061 271 70869 25 578 5542 31796 369 220 17 4207 11 779 279
code_python	60	720 220 422 308 366 220 17 25 471 220 16 198 220 775 25 471 76798 1471 12 16 8 489 76798 1471 12 17 696 2 13688 10648 512 2 1194 968 581 40445 7 605 595 220 674 9442 25 220 2131 198 14196 19884 2028 734 1595 76426 40445 63 5097 459 7698 1595 77 63
code_loop	60	1194 1998 340 14196 19884 2028 2082 690 1194 279 5219 505 220 15 311 220 24 11 832 824 1584 382 74694 12958 198 2000 602 304 2134 7 605 1680 1194 1998 340 14196 19884 2028 2082 690 1194 279 5219 505 220 15 311 220 24 11 832 824 1584 382 74694 12958 198 2000 602 304
code_comment	60	304 36488 2015 198 633 322 5830 311 3460 459 1358 315 26864 304 44184 2015 198 1723 3460 1895 11179 8 341 220 1095 10839 9014 284 2961 10838 1209 64 11 293 8 591 264 482 293 317 220 471 10839 9014 280 633 322 5830 311 10134 459 1358 315 26864 304 36488 2015 198 1723 10134
translate_french	30	320 41540 278 8 6075 25 12535 39043 11412 30 320 41540 278 8 6075 25 12535 39043 11412 30 320 630 278 8 6075 25 12535 39043 11412 30
dialog_continue	30	3815 1664 11 9901 499 13 2650 922 499 5380 32 25 358 1097 3815 1664 2288 13 358 617 1027 7422 922 279 3293 4442 304 279 1917 13
B: I am		
json_format	30	5324 609 794 330 62786 498 330 425 794 220 966 92 9442 25 5324 609 794 330 62786 498 330 425 794 220 966 92 9442 25 5324 609
long_history	30	6603 1051 22523 555 1450 11 902 574 264 1633 6435 1920 13 578 28229 315 279 18991 3577 574 264 3682 13353 1486 304 279 3925 315 279 18991
long_recipe	30	63471 323 20415 279 19692 7363 13 9479 11 6651 279 9235 14293 13 2758 279 14739 14293 13 27058 279 8919 1139 279 24276 13 53174 369 220 966
long_summary	30	279 5054 56399 13 578 13041 21080 574 264 13057 323 6485 8396 11 323 279 13041 21080 574 264 6485 8396 11 323 279 13041 21080 574 264 6485
edge_single	60	11 358 1097 264 502 1217 1618 323 358 1097 4560 311 3619 279 7434 315 279 2204 4595 315 23719 13 358 617 1373 430 1070 527 2380 4595 315 23719 11 719 358 1097 539 2771 902 832 374 4495 13 16910 499 4587 1520 757 3619 279 2380 4595 315 23719 323 902 832 374 4495 30
edge_repetitive	60	10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035
edge_question	60	9393 433 374 264 1633 3062 961 315 279 3823 2547 13 1102 374 279 961 315 279 2547 430 374 8647 369 279 7351 315 279 2547 13 1102 374 1101 279 961 315 279 2547 430 374 8647 369 279 37392 315 279 2547 13 1102 374 1101 279 961 315 279 2547 430 374 8647 369 279
