long_recall_alma	dense	220 679 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12 15 12
long_recall_alma	fifo	330 14235 304 279 16867 596 5655 2320 301 13070 34458 2068 11 279 16867 596 5655 2320 301 13070 34458 11 279 16867 596 5655 2320 301 13070 34458
long_recall_alma	random_s1	2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13
long_recall_alma	random_s2	2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13 2999 13
long_recall_alma	random_s3	578 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374
long_recall_alma	sigdist_m1	578 4320 374 279 16867 596 34458 323 279 16867 596 34458 323 279 16867 596 34458 323 279 16867 596 16867 596 34458 323 279 16867 596 34458 323
long_recall_alma	sigdist_m8	3639 374 279 16867 596 34458 11 323 279 16867 596 34458 11 323 279 16867 596 34458 11 323 279 16867 596 34458 11 323 279 16867 596 34458
long_narrative_lighthouse	dense	279 326 59009 13 578 13766 574 264 13766 13 578 326 59009 574 264 13766 13 578 13766 574 264 326 59009 13 578 13766 13 578 326 59009 574 264 326 59009 13 578 13766 13 578 326 59009 574 264 13766 13 578 13766 13 578 326 59009 13 578 13766 13 578 13766 13 578 13766
long_narrative_lighthouse	fifo	279 1828 1938 11 279 1828 1938 11 279 2768 11 279 2768 1938 11 279 2768 11 279 2768 1938 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 2768 11 279 1938
long_narrative_lighthouse	random_s1	279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315 279 1938 315
long_narrative_lighthouse	random_s2	279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315 279 1828 1938 315
long_narrative_lighthouse	random_s3	279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11 279 1828 1938 11
long_narrative_lighthouse	sigdist_m1	279 10732 45707 315 279 10732 45707 11 279 4483 88798 11 279 4483 88798 11 279 270 404 46487 11 279 3116 46487 11 279 11375 46487 11 279 4848 46487 11 279 22084 62655 11 279 8223 62655 11 279 66089 11 279 62520 11 279 17510 38043 11 279 17510 38043 11 279 17510 38043 11 279
long_narrative_lighthouse	sigdist_m8	279 1828 1938 11 279 2768 25 279 10732 45707 11 279 2768 25 279 2768 25 279 2768 1938 11 279 2768 25 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11 279 2768 1938 11
long_recipe_extended	dense	578 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374 279 4320 374
long_recipe_extended	fifo	3639 374 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279
long_recipe_extended	random_s1	99176 17270 70181 11 99176 17270 70181 11 99176 17270 70181 11 99176 17270 70181 11 99176 17270 70181 11 99176 17270 70181 11 99176 17270 70181 11 99176 17270
long_recipe_extended	random_s2	3639 374 279 4320 374 279 99176 17270 70181 374 279 70181 374 279 70181 374 279 70181 374 279 70181 374 279 70181 374 279 70181 374 279 70181
long_recipe_extended	random_s3	3639 374 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279
long_recipe_extended	sigdist_m1	3639 374 279 955 315 99176 17270 70181 374 279 955 315 99176 17270 70181 374 279 955 315 99176 17270 70181 374 279 955 315 99176 17270 70181 374
long_recipe_extended	sigdist_m8	3639 374 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279 955 315 279
