factual_capital	30	720 16533 25 578 6864 315 9822 374 12366 13 4815 13617 25 720 2746 499 1390 311 4034 279 469 3168 301 22703 11 499 1288 733 311 12366
factual_hamlet	30	320 28085 25 1102 596 264 11495 1514 555 264 11495 99468 29275 16533 25 12656 42482 13 1283 6267 2225 6342 61078 323 9777 1169 13 4815 27 91
factual_columbus	30	720 16533 25 220 10161 17 382 14924 220 17 25 3639 574 279 836 315 279 1176 8448 32917 76844 389 813 1176 45640 30 22559 25 64988 382
def_photosynth	30	279 1920 555 902 11012 5625 3177 4907 1139 11742 4907 13 1115 1920 374 7718 369 279 20237 315 11012 323 1101 369 279 20237 315 10099 13 578
def_gravity	30	34145 6302 7119 1855 1023 13 48590 374 279 81863 5457 304 279 15861 97751 374 279 31005 5457 304 279 15861 97751 374 279 5457 430 10187 279 33975
def_ml	30	430 706 1027 2212 369 264 1418 1457 11 323 433 374 1193 5933 430 584 1053 1390 311 1440 810 922 433 13 763 420 4652 11 584 690
nar_once	60	11 304 264 2678 6424 11 1070 12439 264 3995 3828 7086 30505 13 30505 574 264 1633 22999 3828 323 1364 2744 4934 311 1440 810 922 279 1917 13 3005 1053 3629 2610 1077 6699 323 1077 4885 922 872 11704 323 279 2574 814 1047 3970 13 30505 574 2744 61914 555 279 7493 315 279 1274
nar_storm	60	279 1193 3177 3782 505 279 29447 4776 52305 304 279 2362 52528 13 578 13766 88 3814 574 264 892 315 1060 994 279 10160 574 1268 2785 323 279 11422 574 51513 1523 13 578 52305 1051 279 1193 2592 315 3177 304 279 2362 52528 13 578 13766 88 3814 574 264 892 315 1060 994 279
nar_discovery	60	430 279 828 574 539 15062 13 1283 6773 311 13454 279 9526 311 6667 810 13687 828 627 7 16 570 578 28568 7111 520 279 828 323 15393 430 279 828 574 539 15062 13 1283 6773 311 13454 279 9526 311 6667 810 13687 828 627 7 17 570 578 28568 7111 520 279 828 323 15393
math_add	30	1148 5380 16533 25 220 717 5636 220 22 17239 220 777 13 4815 14924 25 3639 374 279 1121 315 220 717 5636 220 22 5380 16533 25 578
math_div	30	1148 5380 16533 25 220 8929 18255 555 220 717 17239 1148 30 720 16533 25 220 717 865 220 717 284 220 8929 271 14924 25 3639 374 279
reason_word	30	220 17 4207 13 3639 374 279 4732 315 279 5542 304 35061 5380 16533 25 220 966 35061 13 220 320 18 5298 311 220 20 5298 374 220
code_python	60	720 220 422 308 2717 220 15 25 471 220 15 198 220 4508 308 624 220 16 25 471 220 16 198 220 775 25 471 76798 1471 12 16 8 489 76798 1471 12 17 696 2 3475 279 734 198 1374 968 581 40445 7 605 595 220 674 9442 25 220 2131 198 1374 968 581
code_loop	60	1194 968 14461 72 92 374 314 285 13886 1998 9317 5240 2 9442 512 2 220 15 374 220 15 198 2 220 16 374 220 16 198 2 220 17 374 220 17 198 2 220 18 374 220 18 198 2 220 19 374 220 19 198 2 220 20 374 220 20 198 2 220 21
code_comment	60	304 36488 2015 198 262 711 3460 3943 11179 997 286 2961 10838 746 286 471 2961 198 262 711 3460 3943 62 73000 11179 997 286 2961 10838 746 286 471 2961 198 262 711 3460 3943 11229 2518 11179 997 286 2961 10838 48235 3702 340 286 471 2961 198 262 711 3460 3943 62 73000 11179 997
translate_french	30	482 12535 39043 11412 949 482 12535 17724 11 4068 17724 382 7184 11 1095 596 15025 279 11914 311 8753 13 578 11914 374 330 9906 11 1268 527
dialog_continue	30	3815 1664 11 9901 499 13 2650 922 499 1980 32 25 358 1097 3815 2294 11 9901 499 13 358 617 1027 3318 389 264 502 2447 430 18065
B: I am		
json_format	30	5324 609 794 330 62786 498 330 425 794 220 966 92 382 74694 12958 198 755 5625 2401 9643 2657 997 262 471 3024 22252 2657 11 17962 28
long_history	30	6603 1051 5439 304 264 3254 1742 11 323 279 1193 1648 311 1304 264 3048 574 311 1450 67240 1124 13 52686 753 28229 315 83679 955 18991 3577
long_recipe	30	6651 279 9235 14293 3871 304 264 3544 19763 13 763 264 8821 19763 11 9567 279 19335 11 13465 11 323 14432 3871 3156 11113 13 2758 279 9235
long_summary	30	279 5054 56399 13 578 13041 21080 574 264 6485 8396 449 264 3831 8792 3109 11 323 433 574 420 8792 3109 430 574 779 7621 323 22681 430
edge_single	60	11 358 1097 264 5575 315 6500 8198 323 358 1097 5131 3318 389 264 2447 430 18065 279 1005 315 264 4729 323 264 3566 3851 13 358 617 264 27436 4729 323 358 1097 1701 279 3566 3851 12914 11 902 374 53704 13 358 1097 4560 311 1005 53704 596 5918 3502 4729 3717 323 358 1097
edge_repetitive	60	10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035 10035
edge_question	60	9393 433 374 264 1633 3062 961 315 279 3823 2547 430 8779 603 311 21552 3691 323 1101 8779 304 279 5788 315 56067 430 527 7718 369 279 2547 311 734 10489 13 1102 374 1101 264 1633 3062 961 315 279 22852 1887 430 8779 311 8356 59854 430 1520 311 4465 30020 13 1102 374 1101
