factual_capital	30	578 6864 315 9822 374 12366 13 1102 374 264 3363 3967 369 1202 13970 26431 11 24364 16975 11 323 27373 61024 13 12366 374 279 4851 315 9822
factual_hamlet	30	578 1514 574 5439 555 42482 11 889 374 279 3229 315 9777 1169 30 578 1514 574 5439 555 42482 11 889 374 279 3229 315 9777 1169 30
factual_columbus	30	720 16533 25 220 10161 17 271 14924 25 3639 374 279 1455 4279 16930 9002 32917 596 19163 304 279 52248 30 22559 25 32917 11721 304 220 10161
def_photosynth	30	279 1920 555 902 11012 5625 3177 4907 1139 11742 4907 13 1115 1920 374 7718 369 279 20237 315 11012 323 1101 369 279 5788 315 17808 32246 627
def_gravity	30	34145 6302 7119 279 4219 315 279 9420 13 48590 374 279 5457 430 34145 6302 7119 279 4219 315 279 9420 13 48590 374 279 5457 430 34145 6302
def_ml	30	430 374 19019 10223 323 42028 13 1102 374 264 2115 430 374 19019 10223 323 42028 13 13257 6975 374 264 2115 430 374 19019 10223 323 42028 13
nar_once	60	11 1070 574 264 3995 3828 7086 30505 13 3005 574 264 1633 22999 323 68188 3828 11 2744 3411 369 502 2574 311 4048 323 13488 13 30505 574 2744 61914 555 279 1648 2574 6575 323 1268 814 1436 387 1511 311 1304 2574 2731 13 30505 574 2744 3411 369 5627 311 1304 2574 2731 382 62786
nar_storm	60	279 1193 3177 574 279 37066 315 279 52305 13 3005 1047 13318 1124 369 279 11714 11 323 814 3984 264 8369 323 43535 16975 13 578 52305 1051 9277 68774 2212 279 3130 11 25146 29447 4776 35612 389 279 14620 13 578 8579 37066 315 279 52305 574 264 38246 13168 311 279 27394 315 279 13766
nar_discovery	60	430 433 574 264 16930 311 1005 279 5076 15150 13 3005 1047 1027 3318 389 279 5076 15150 369 279 4553 2447 11 323 1457 1364 1047 311 4495 433 1603 279 22143 13 220 17 13 578 28568 574 3318 389 279 5076 15150 369 279 4553 2447 11 323 1457 1364 1047 311 4495 433 1603 279
math_add	30	220 777 198 827 220 777 271 14924 25 578 2694 315 279 19016 315 264 6928 7698 374 2663 1202 330 36034 2694 1210 1789 3187 11 279 16099
math_div	30	220 717 13 8929 18255 555 220 717 17239 220 717 13 8929 18255 555 220 717 17239 220 717 13 8929 18255 555 220 717 17239 220 717 13
reason_word	30	220 23 4207 13 2650 1317 374 279 8577 5380 3883 512 64 8 220 23 4207 198 65 8 220 605 4207 198 66 8 220 717 4207 198
code_python	60	720 220 422 308 2717 220 16 25 471 308 26 220 775 471 320 76426 40445 1471 12 16 8 489 76798 1471 12 17 6030 220 471 76798 1471 12 17 8 489 76798 1471 12 16 1237 220 471 76798 1471 12 16 8 489 76798 1471 12 17 1237 220 471 76798 1471 12 17 8
code_loop	60	220 674 22070 1555 279 1358 315 220 605 5540 198 644 420 3187 11 584 6471 1555 279 1358 315 220 605 5540 1701 369 6471 13 578 369 6471 374 1511 311 30729 927 279 1358 315 220 605 5540 13 1102 374 264 8147 1648 311 30729 927 18893 315 220 605 5540 13 578 369 6471
code_comment	60	304 36488 2015 198 633 322 5830 311 3460 459 1358 315 26864 304 44184 2015 271 322 5830 311 3460 459 1358 315 26864 304 36488 2015 271 322 5830 311 3460 459 1358 315 26864 304 44184 2015 271 322 5830 311 3460 459 1358 315 26864 304 36488 2015 271 322 5830 311 3460 459 1358 315
translate_french	30	358 1097 264 2766 22568 922 279 14807 315 330 9906 11 1268 527 499 7673 1139 8753 13 1102 596 264 2766 31715 11 719 358 1097 264 2766
dialog_continue	30	3815 1664 3432 13 2650 922 499 5380 34 25 358 1097 3815 1664 2288 13 6914 596 3137 922 279 502 2447 627 33 25 358 1097 12304 922
B: I am		
json_format	30	836 374 30505 11 4325 374 220 966 271 74694 12958 198 74694 12958 198 74694 12958 198 74694 12958 198 74694 12958 198 74694 12958 198 74694 12958 198
long_history	30	6603 1051 5439 304 264 3254 1742 11 323 279 1890 2038 574 1766 304 1690 2204 6603 13 1115 574 264 892 70840 3465 11 323 433 574 5107
long_recipe	30	6651 279 14293 3871 13 17830 11 5019 279 8919 1139 279 19692 7363 323 23360 13 220 6075 25 2057 23360 264 18414 19692 11 499 1205 20415 11
long_summary	30	5054 56399 13 578 13041 21080 574 264 13057 323 6485 8396 11 323 1202 18174 574 4245 311 264 10824 315 5419 323 9434 9547 13 578 7100 35665
edge_single	60	11 358 1097 264 2766 22568 922 1268 311 1005 279 3492 330 370 618 367 1 304 264 11914 13 763 279 11914 11 358 1053 1093 311 1005 279 3492 330 370 618 367 1 4619 315 330 370 618 367 3343 358 1097 539 2771 422 358 1097 5535 311 1005 279 3492 330 370 618 367
edge_repetitive	60	198 220 19 13 7566 11 220 20 3115 198 220 20 7566 11 220 20 3115 198 220 21 7566 11 220 21 3115 198 220 22 7566 11 220 22 3115 198 220 23 7566 11 220 23 3115 198 220 24 7566 11 220 24 3115 198 220 605 7566 11 220 605 3115 198 220 806
edge_question	60	9393 433 374 264 1633 3062 961 315 279 3823 2547 11 323 433 374 1101 264 1633 3062 961 315 279 22852 1887 13 1102 374 279 1176 1584 315 9232 2403 78284 13 578 1176 1584 315 9232 374 279 6930 323 279 65104 788 39654 13 1102 374 1101 279 1176 1584 315 9232 2403 9572 13
